episode_name                                                                                                                    ,web_start_episode   ,web_finish_episode  ,tablet_start_episode,tablet_finish_episode,web_finish_rate                         ,tablet_finish_rate                      ,web_avg_stars                           ,tablet_avg_stars                        ,web_no_submit       ,tablet_no_submit    
BarSequence                                                                                                                     ,               14185,                6444,                  83,                   30,                      .45428269298554811,                      .36144578313253012,                                1.334244,                                 .806000,                 830,                   0
Beads                                                                                                                           ,               25175,               18666,               25257,                18485,                      .74144985104270109,                      .73187631151759908,                                2.165027,                                2.126674,                2051,                2026
BeadsFractions                                                                                                                  ,               32967,               14715,               15763,                 6721,                      .44635544635544635,                      .42637822749476622,                                1.540214,                                1.432259,                2897,                1326
BeesAndFlowers                                                                                                                  ,               20216,               14508,               19432,                13513,                      .71764938662445587,                      .69539934129271305,                                1.878790,                                1.793607,                1390,                1518
BirdFlocksParity                                                                                                                ,               29619,               21618,               14597,                11020,                      .72986934062594955,                      .75494964718777831,                                1.873063,                                1.869179,                1371,                 726
BirdhouseAdditionSubtraction                                                                                                    ,                7922,                5146,                5509,                 3356,                      .64958343852562484,                      .60918497004901070,                                2.016111,                                1.903464,                 930,                 675
BirdhouseFractions                                                                                                              ,               13302,                7574,                6128,                 3444,                      .56938806194557209,                      .56201044386422976,                                1.709434,                                1.745620,                1368,                 544
BirdhouseFractionsMaking                                                                                                        ,               14015,                9052,                4360,                 2481,                      .64587941491259364,                      .56903669724770642,                                1.793763,                                1.659221,                 826,                 289
Birdhouses                                                                                                                      ,               15404,               13460,               19070,                16036,                      .87379901324331342,                      .84090194022024121,                                2.209220,                                2.188937,                 588,                 996
BirdsCrossing                                                                                                                   ,               34997,               24487,               26439,                16449,                      .69968854473240563,                      .62214909792352206,                                2.059258,                                1.948116,                3083,                3310
BirdsOnWire                                                                                                                     ,               15098,                6725,                5830,                 2310,                      .44542323486554510,                      .39622641509433962,                                1.467434,                                1.351063,                1493,                 575
BoatAngles                                                                                                                      ,               18475,                8119,                6880,                 2935,                      .43945872801082543,                      .42659883720930232,                                1.700010,                                1.589366,                1901,                 613
BoatEquations                                                                                                                   ,               20427,                9787,               13126,                 5902,                      .47912077152787976,                      .44964193204327289,                                1.697676,                                1.559842,                2498,                1494
BottlesDivision                                                                                                                 ,               12253,                7250,                8119,                 4860,                      .59169183057210479,                      .59859588619288089,                                1.827369,                                1.825765,                1843,                1274
BottlesForwardCounting                                                                                                          ,               10792,                6846,                7272,                 4214,                      .63435878428465530,                      .57948294829482948,                                1.837886,                                1.701365,                 731,                 692
BouncingBallAddition                                                                                                            ,                7436,                3470,                4912,                 2104,                      .46664873587950511,                      .42833876221498371,                                1.657462,                                1.504426,                1012,                 747
BouncingBallsParts                                                                                                              ,               18729,               11428,               14919,                 7988,                      .61017673127235837,                      .53542462631543669,                                1.908990,                                1.782596,                1651,                1476
BouncingBallSubtraction                                                                                                         ,                6085,                2360,                4321,                 1560,                      .38783894823336072,                      .36102753992131451,                                1.441486,                                1.335272,                 888,                 670
BoxesMultiplication                                                                                                             ,               13354,                8637,                7928,                 4753,                      .64677250262093754,                      .59952068617558022,                                2.056896,                                1.942997,                1202,                 786
BoxPlots                                                                                                                        ,                 455,                  99,                 129,                   21,                      .21758241758241758,                      .16279069767441860,                                 .543936,                                 .434743,                 153,                  44
BreadAndCheese                                                                                                                  ,               14064,                7705,                7999,                 3863,                      .54785267349260523,                      .48293536692086510,                                1.624007,                                1.575359,                1607,                 904
BreadAndCheeseAddingFractions                                                                                                   ,                3292,                2054,                1201,                  641,                      .62393681652490886,                      .53372189841798501,                                1.878491,                                1.779057,                 449,                 193
BreadAndCheeseComparison                                                                                                        ,                4154,                2595,                1513,                 1019,                      .62469908521906596,                      .67349636483807005,                                1.837854,                                1.736192,                 483,                 173
BreadAndCheeseEquivalentFractions                                                                                               ,               12016,                4816,                5006,                 1913,                      .40079893475366178,                      .38214143028365960,                                1.308531,                                1.117965,                 989,                 351
BreadAndCheeseMixedNumbers                                                                                                      ,               17313,                9014,                6188,                 2997,                      .52064922312712990,                      .48432449903038138,                                1.711325,                                1.597328,                2325,                 747
BubbleAddition                                                                                                                  ,               13139,                6969,                8811,                 4003,                      .53040566253139508,                      .45431846555442061,                                1.905366,                                1.792625,                1800,                1275
BuildingWithFigures                                                                                                             ,               13132,                7276,                5377,                 2570,                      .55406640268047517,                      .47796168867398177,                                1.611021,                                1.310850,                1399,                 581
BulbNetworkPuzzle                                                                                                               ,                7650,                 236,                4441,                  154,                      .03084967320261437,                      .03467687457779779,                                 .704169,                                 .561779,                  30,                  23
BusArithmetics                                                                                                                  ,               33503,               18543,               26973,                12333,                      .55347282332925409,                      .45723501279056834,                                1.922033,                                1.827607,                5760,                5372
BuyingToysPay                                                                                                                   ,               32018,               22405,               15588,                10636,                      .69976263351864576,                      .68231973312804721,                                2.066277,                                1.988582,                 756,                 386
CakesFractionsAsDivision                                                                                                        ,                7097,                4353,                1884,                 1055,                      .61335775679864731,                      .55997876857749469,                                1.618760,                                1.636413,                 582,                 143
CalendarDates                                                                                                                   ,                5619,                2123,                2739,                 1004,                      .37782523580708311,                      .36655713764147499,                                1.294056,                                1.128580,                 321,                 190
CampingRiddles                                                                                                                  ,                5123,                1084,                1873,                  225,                      .21159476869022057,                      .12012813667912439,                                1.396163,                                 .708606,                 927,                 286
CannonProtractor                                                                                                                ,               25241,               16122,                8449,                 5377,                      .63872271304623430,                      .63640667534619481,                                2.212817,                                2.142935,                 858,                 228
CardsEstimatingProducts                                                                                                         ,                2117,                 922,                 498,                  193,                      .43552196504487482,                      .38755020080321285,                                1.190447,                                1.081363,                 191,                  37
CardsMultiplicationAsScaling                                                                                                    ,               30194,               20198,               14962,                 9476,                      .66894084917533284,                      .63333778906563293,                                1.839796,                                1.837547,                2297,                1023
CatchTheFly                                                                                                                     ,               15626,                7997,               11685,                 4954,                      .51177524638423140,                      .42396234488660676,                                2.064752,                                1.902697,                1971,                1323
CherryMonster                                                                                                                   ,               14711,                8529,               17299,                 9186,                      .57977023995649513,                      .53101335337302734,                                1.841148,                                1.790612,                 870,                1142
ChocolateMathProof                                                                                                              ,               13320,                8924,                4244,                 2686,                      .66996996996996996,                      .63289349670122525,                                2.198142,                                2.090336,               13315,                4056
ClassifyingQuadrilaterals                                                                                                       ,               33682,               23628,               12595,                 8302,                      .70150228608752449,                      .65915045653036919,                                1.708437,                                1.616003,                1287,                 584
ClassPhotoOrdinals                                                                                                              ,               29279,               21336,               24536,                18755,                      .72871341234331773,                      .76438702314965764,                                1.847101,                                1.786732,                1097,                 905
ColoringBook2DShapes                                                                                                            ,               12250,                7127,                3908,                 2346,                      .58179591836734693,                      .60030706243602865,                                2.017147,                                2.045357,                1135,                 245
CombiningVolumes                                                                                                                ,                6652,                3510,                   1,                    1,                      .52766085387853277,                     1.00000000000000000,                                1.678239,                                2.000000,                 402,                   0
ComparingFractionsOnTheNumberLine                                                                                               ,                4730,                2257,                1357,                  605,                      .47716701902748414,                      .44583640383198231,                                1.434578,                                1.275921,                 786,                 203
CompletingExpressions                                                                                                           ,               11143,                3156,                6103,                 1673,                      .28322713811361392,                      .27412747828936588,                                1.447265,                                1.281729,                 688,                 407
CountingAcrobats                                                                                                                ,               16611,               13122,               18165,                13560,                      .78995846126061043,                      .74649050371593724,                                2.124327,                                2.063232,                 596,                 661
CountingAnimals                                                                                                                 ,               55654,               43197,               43369,                32605,                      .77617062565134581,                      .75180428416610943,                                2.101042,                                2.025122,                3315,                2142
CountingBouncingBalls                                                                                                           ,               17436,               10027,               14508,                 7478,                      .57507455838495067,                      .51543975737524124,                                1.949951,                                1.907070,                2366,                2443
CountingMeerkats                                                                                                                ,               37602,               30696,               30899,                23998,                      .81633955640657411,                      .77665943881679018,                                2.067059,                                1.977082,                2718,                2527
CrayonsLinePlot                                                                                                                 ,                3977,                1603,                2504,                  932,                      .40306763892381191,                      .37220447284345047,                                1.170364,                                1.142751,                 757,                 481
CurtainSubtraction                                                                                                              ,               17014,               12766,               15741,                10672,                      .75032326319501586,                      .67797471571056476,                                1.986347,                                1.957890,                 657,                 921
CutAndGlue                                                                                                                      ,               27496,               14555,               11943,                 6236,                      .52934972359615944,                      .52214686427195846,                                1.531887,                                1.443398,                2369,                 829
DancersFractions                                                                                                                ,                7254,                2890,                   0,                    0,                      .39840088227185001,                      .00000000000000000,                                2.916160,                                 .000000,                 197,                   0
DecimalAdditionWithScales                                                                                                       ,               10575,                4699,                5667,                 2593,                      .44434988179669030,                      .45756131992235750,                                1.482312,                                1.428686,                1754,                 923
DecimalPaintMixing                                                                                                              ,              100881,               52561,               59470,                30539,                      .52101981542609609,                      .51351942155708760,                                1.773289,                                1.719936,                8557,                5376
DiceTossingHistogram                                                                                                            ,                3173,                1527,                 882,                  441,                      .48124803025527891,                      .50000000000000000,                                1.340825,                                1.202253,                 445,                 147
DistanceOnACoordinatePlane                                                                                                      ,                4395,                2524,                3417,                 2087,                      .57428896473265073,                      .61076968100673105,                                1.502830,                                1.462607,                 237,                 134
DistributiveArea                                                                                                                ,                8799,                4101,                4165,                 1741,                      .46607569041936583,                      .41800720288115246,                                1.695390,                                1.494710,                1274,                 560
DistributiveStickerPage                                                                                                         ,               12384,                6180,                5011,                 2170,                      .49903100775193798,                      .43304729594891239,                                1.833716,                                1.519522,                1972,                 732
DividingFractionsByWholeWithPie                                                                                                 ,                6561,                1790,                4073,                  685,                      .27282426459381191,                      .16818070218512153,                                 .946603,                                 .697895,                1362,                 844
DivisionUsingAreaOnAGrid                                                                                                        ,               22192,                8541,                9919,                 3283,                      .38486842105263157,                      .33098094565984474,                                1.538003,                                1.372012,                4891,                2505
DovecotesMaking                                                                                                                 ,                5433,                3865,                5887,                 3858,                      .71139333701454076,                      .65534227959911669,                                1.969302,                                1.939718,                 326,                 469
DrawingOnAGrid                                                                                                                  ,                6172,                2429,                3434,                  939,                      .39355152300712896,                      .27344205008736167,                                1.064600,                                 .910045,                 815,                 506
DressUp                                                                                                                         ,               14109,                5303,                6891,                 3127,                      .37585938053724572,                      .45378029313597445,                                1.515611,                                1.562931,                 701,                 297
DrivingAround                                                                                                                   ,                7734,                2985,                6561,                 1977,                      .38595810705973622,                      .30132601737540009,                                1.474118,                                1.256347,                 248,                 262
EstimatingOnTheNumberLine                                                                                                       ,                8244,                3177,                4403,                 1500,                      .38537117903930131,                      .34067681126504655,                                1.122709,                                 .988216,                1442,                 830
EvaluatingExpressionsWithParsingTree                                                                                            ,               19817,                8355,                9068,                 3758,                      .42160771055154665,                      .41442434936038817,                                1.586793,                                1.498972,                4747,                2075
FactoryCubesCounting                                                                                                            ,                5484,                2061,                   5,                    1,                      .37582056892778993,                      .20000000000000000,                                1.078067,                                1.000000,                 297,                   0
FanPatterns                                                                                                                     ,               11202,                7264,                7756,                 4663,                      .64845563292269237,                      .60121196493037648,                                1.872624,                                1.802135,                 899,                 678
FishTankGraphing                                                                                                                ,               12120,                7082,                8546,                 4678,                      .58432343234323432,                      .54739059208986660,                                1.728870,                                1.581698,                1188,                 999
FlowerAddition                                                                                                                  ,                8158,                6062,                9118,                 6410,                      .74307428291247854,                      .70300504496600131,                                2.132423,                                2.119187,                 642,                 787
FoodMarketFactors                                                                                                               ,                3681,                1015,                2115,                  392,                      .27574028796522684,                      .18534278959810874,                                1.127608,                                 .798969,                 897,                 381
ForwardCountingSafari                                                                                                           ,               29605,               17708,               28195,                15867,                      .59814220570849518,                      .56275935449547792,                                1.900805,                                1.813519,                2729,                2777
FourOperationsGame                                                                                                              ,               10089,                6089,                4816,                 2876,                      .60352859550004955,                      .59717607973421926,                                1.935031,                                1.859640,                 562,                 314
FractionMultiplicationAsArea                                                                                                    ,                1370,                 442,                 497,                  127,                      .32262773722627737,                      .25553319919517102,                                1.172817,                                1.013525,                 228,                  69
FractionsAndDecimals                                                                                                            ,               11182,                4218,                4954,                 1799,                      .37721337864424968,                      .36314089624545821,                                1.451417,                                1.474705,                2608,                1050
FractionsModels                                                                                                                 ,               26732,               10359,                8643,                 3112,                      .38751309292234026,                      .36006016429480504,                                1.578584,                                1.428934,                6157,                1978
FractionsModelsWorksheet                                                                                                        ,                2506,                1397,                 872,                  467,                      .55746209098164405,                      .53555045871559633,                                1.525384,                                1.473957,                 747,                 236
FractionsOfRectangles                                                                                                           ,               43932,               21190,               18820,                 7307,                      .48233633797687334,                      .38825717321997874,                                1.615451,                                1.455459,                4222,                1495
FruitsAddition                                                                                                                  ,               11507,                9324,               10596,                 7953,                      .81028938906752411,                      .75056625141562853,                                2.233099,                                2.157083,                 500,                 461
FruitsForMonstersDivision                                                                                                       ,               40478,               26153,               25692,                16937,                      .64610405652453184,                      .65923244589755565,                                1.838068,                                1.797871,                2503,                1486
GarageCounting                                                                                                                  ,                5807,                3979,                5280,                 3307,                      .68520750817978302,                      .62632575757575757,                                2.044273,                                1.880816,                 125,                  83
GasTankAddition                                                                                                                 ,               36135,               19675,               28290,                15210,                      .54448595544485955,                      .53764581124072110,                                1.636651,                                1.504114,                2204,                1728
GraphingRecipeRatios                                                                                                            ,                2786,                1016,                1512,                  220,                      .36468054558506819,                      .14550264550264550,                                 .778074,                                 .576939,                1104,                 263
GraphingTemperatureRatios                                                                                                       ,                1824,                 686,                 920,                  279,                      .37609649122807017,                      .30326086956521739,                                1.183098,                                 .997540,                 264,                 134
GuessingFigures                                                                                                                 ,               25353,               12102,                9820,                 5187,                      .47733995976807478,                      .52820773930753564,                                1.071676,                                 .979976,                1616,                 568
GuessWhere                                                                                                                      ,                5465,                3848,                3052,                 1879,                      .70411710887465690,                      .61566186107470511,                                1.972464,                                1.934196,                 203,                 116
HatsLogicRiddles                                                                                                                ,               29964,                3961,               16434,                 2390,                      .13219196368976104,                      .14543020567116952,                                1.578740,                                1.575178,               27022,               14215
HistoryTimeline                                                                                                                 ,                   2,                   1,                  69,                   26,                      .50000000000000000,                      .37681159420289855,                                2.000000,                                1.690000,                   0,                   3
HundredBoardGame                                                                                                                ,               27451,               14455,               24420,                11178,                      .52657462387526866,                      .45773955773955773,                                1.777250,                                1.707591,               25118,               20279
IdentifyingQuadrilaterals                                                                                                       ,               39640,               19449,               21969,                 9390,                      .49064076690211907,                      .42742045609722791,                                1.422086,                                1.360962,                7740,                4632
InsectRatios                                                                                                                    ,                1993,                 664,                 535,                  202,                      .33316608128449573,                      .37757009345794392,                                 .900102,                                 .542364,                 392,                  86
JuiceDivisionToCups                                                                                                             ,                3906,                2018,                   0,                    0,                      .51664106502816180,                      .00000000000000000,                                3.274068,                                 .000000,                 476,                   0
JuiceQuotativeDivision                                                                                                          ,                2984,                1405,                 484,                  176,                      .47084450402144772,                      .36363636363636363,                                1.440482,                                1.238448,                 443,                  64
JungleSurvey                                                                                                                    ,                3431,                2852,                3619,                 2612,                      .83124453512095598,                      .72174633876761536,                                2.179606,                                1.984365,                 276,                 356
LightAngles                                                                                                                     ,                9704,                   0,                6301,                    0,                      .00000000000000000,                      .00000000000000000,                                 .000000,                                 .000000,                 205,                  59
LinePlotForFractionalMeasurementData                                                                                            ,                2316,                 480,                 801,                  175,                      .20725388601036269,                      .21847690387016229,                                 .648350,                                 .602830,                 722,                 230
LinePlotFromTable                                                                                                               ,                2726,                1366,                1268,                  573,                      .50110051357300073,                      .45189274447949526,                                1.439409,                                1.298607,                 412,                 223
LinePlotWithSandals                                                                                                             ,                1374,                 463,                 851,                  227,                      .33697234352256186,                      .26674500587544065,                                1.152354,                                 .980166,                 260,                 158
LogoTransformations                                                                                                             ,                7487,                2446,                3453,                  987,                      .32669961266194737,                      .28583840139009556,                                1.279218,                                1.218060,                 215,                 101
LongDivisionAlgorithm                                                                                                           ,                5310,                2264,                2156,                  969,                      .42636534839924670,                      .44944341372912801,                                1.630281,                                1.664456,                1520,                 673
LotusParity                                                                                                                     ,                7998,                5764,                5325,                 3832,                      .72068017004251062,                      .71962441314553990,                                1.934012,                                1.914615,                 236,                 133
MagicLibraryRomanNumerals                                                                                                       ,                8726,                5624,                3495,                 2133,                      .64451065780426312,                      .61030042918454935,                                1.788337,                                1.656266,                 204,                  77
MagicTrianglePuzzles                                                                                                            ,               69715,               37023,               37600,                17614,                      .53106218173994118,                      .46845744680851063,                                1.270324,                                1.215862,                8901,                5428
MakingNewShapes                                                                                                                 ,               10953,                2679,                5211,                 1201,                      .24459052314434401,                      .23047399731337555,                                 .781068,                                 .721493,                2194,                 939
MatchCardSums                                                                                                                   ,               87854,               50075,               58696,                32169,                      .56997973911261866,                      .54806119667439007,                                1.813840,                                1.721958,                6201,                4044
MeanWithFruit                                                                                                                   ,                2161,                1101,                 631,                  329,                      .50948634891254049,                      .52139461172741679,                                1.426262,                                1.196464,                 386,                 100
MeasuringObjects                                                                                                                ,                1139,                 733,                   0,                    0,                      .64354697102721685,                      .00000000000000000,                                3.669548,                                 .000000,                 148,                   0
MeasuringWithProtractor                                                                                                         ,                8043,                3063,                5470,                 1847,                      .38082804923535994,                      .33765996343692870,                                1.689136,                                1.541703,                1174,                 929
MedianUsingHistogram                                                                                                            ,                1550,                 705,                 262,                   95,                      .45483870967741935,                      .36259541984732824,                                1.232603,                                 .971104,                 362,                  70
MonkeysPreAlgebra                                                                                                               ,               56699,               12438,               22400,                 4815,                      .21936894830596659,                      .21495535714285714,                                2.031662,                                1.667950,                5497,                1261
MonsterQuickAdditionWithUnknown                                                                                                 ,               15462,               10757,               17546,                12110,                      .69570560082783598,                      .69018579733272540,                                1.904164,                                1.788264,                 394,                 521
MovieMoneyPay                                                                                                                   ,               37822,               23169,               16834,                10634,                      .61257997990587488,                      .63169775454437448,                                2.070419,                                1.878097,                2223,                 525
MovingGame                                                                                                                      ,                8679,                3927,                4437,                 2330,                      .45247148288973384,                      .52512959206671174,                                1.121107,                                 .994520,                 248,                 157
MultiplicationByTruck                                                                                                           ,               12075,                5435,                7182,                 2901,                      .45010351966873706,                      .40392648287385129,                                1.479315,                                1.417615,                1516,                1004
MultiplicationGridExpanded                                                                                                      ,                1598,                 734,                 380,                  175,                      .45932415519399249,                      .46052631578947368,                                1.733417,                                1.328782,                 453,                 108
MultiplicationMomentsBalance                                                                                                    ,                8254,                5652,                5145,                 3528,                      .68475890477344317,                      .68571428571428571,                                2.084434,                                1.967090,                 489,                 234
MultiplicationTable                                                                                                             ,               12449,                7398,                8742,                 4470,                      .59426459956623021,                      .51132463967055593,                                1.875773,                                1.742138,                2010,                1758
MultiplyingDecimalsMovingPoint                                                                                                  ,                 639,                 313,                 173,                   89,                      .48982785602503912,                      .51445086705202312,                                1.392095,                                1.146279,                 119,                  29
MultiplyingDovecotes                                                                                                            ,                4705,                1773,                2702,                  825,                      .37683315621679064,                      .30532938564026646,                                1.447010,                                1.238427,                 844,                 529
Nets                                                                                                                            ,               18470,                8496,                7852,                 3715,                      .45998917162966973,                      .47312786551197147,                                1.533870,                                1.427352,                1343,                 661
NotesNumerals                                                                                                                   ,               82307,               50896,               39450,                23361,                      .61836781804706768,                      .59216730038022813,                                1.966795,                                1.921225,                8777,                4478
NumberLineEquivalentFractions                                                                                                   ,               11075,                4647,                3600,                 1379,                      .41959367945823927,                      .38305555555555555,                                1.536807,                                1.324572,                1648,                 588
NumberLineEstimatingSumOfFractions                                                                                              ,                3774,                1212,                1012,                  330,                      .32114467408585055,                      .32608695652173913,                                1.232287,                                1.135283,                1044,                 265
OperationCheeseFractions                                                                                                        ,                1858,                1182,                 581,                  372,                      .63616792249730893,                      .64027538726333907,                                1.905572,                                1.827777,                 136,                  21
PalaceRates                                                                                                                     ,                 772,                 356,                   0,                    0,                      .46113989637305699,                      .00000000000000000,                                2.754464,                                 .000000,                  22,                   0
ParkPlanning                                                                                                                    ,               16177,                3812,                6203,                 1300,                      .23564319713173023,                      .20957601160728679,                                1.127825,                                 .829890,                2727,                1089
PartyDecorations                                                                                                                ,               10571,                7659,                7520,                 5049,                      .72452937281241131,                      .67140957446808510,                                2.027308,                                2.036552,                 415,                 256
PencilsLinePlot                                                                                                                 ,                2370,                1141,                1222,                  502,                      .48143459915611814,                      .41080196399345335,                                1.348355,                                1.154953,                 283,                 189
PerimeterOfPolygons                                                                                                             ,               21501,               10876,                8895,                 3881,                      .50583693781684572,                      .43631253513209668,                                1.430646,                                1.395000,                2202,                 956
PileComparison                                                                                                                  ,               53208,               33247,               29144,                17943,                      .62484964666967373,                      .61566703266538567,                                1.724834,                                1.658594,                2820,                1864
PingPong                                                                                                                        ,               58961,               32844,               50755,                30287,                      .55704618307016502,                      .59672938626736282,                                1.685449,                                1.632021,                2260,                2574
PizzaBenchmarks                                                                                                                 ,               12501,                6051,                5074,                 2364,                      .48404127669786417,                      .46590461174615687,                                1.632612,                                1.661550,                 688,                 305
PizzaMap                                                                                                                        ,               21500,                5343,                9086,                 1918,                      .24851162790697674,                      .21109399075500770,                                1.013813,                                 .932788,                1233,                 447
PizzaUnitFractions                                                                                                              ,               36317,               27010,               21507,                15491,                      .74372883222733155,                      .72027711907750964,                                2.112429,                                2.047542,                3033,                1821
PlottingRealWorldDataWithFractionalGrid                                                                                         ,                2190,                 849,                 539,                  119,                      .38767123287671232,                      .22077922077922077,                                 .868174,                                 .775394,                 502,                 169
PolygonsOnAGrid                                                                                                                 ,                2338,                 671,                 924,                  315,                      .28699743370402053,                      .34090909090909090,                                 .932954,                                1.053661,                 737,                 236
PolygonStack                                                                                                                    ,               36510,               19954,               21167,                11463,                      .54653519583675705,                      .54155052676335805,                                1.831709,                                1.831059,                1555,                 893
PotionDecimals                                                                                                                  ,               14603,                7501,                9403,                 4675,                      .51366157638841333,                      .49718175050515792,                                1.739400,                                1.626201,                1696,                 948
PouringRiddles                                                                                                                  ,               40812,               16892,                   0,                    0,                      .41389787317455650,                      .00000000000000000,                                3.116578,                                 .000000,                2302,                   0
PralineSorting                                                                                                                  ,                9997,                6318,               10322,                 6523,                      .63198959687906371,                      .63195117225343925,                                1.872782,                                1.867076,                 941,                 714
PricesAndDiscounts                                                                                                              ,                8321,                2809,                1517,                  500,                      .33757961783439490,                      .32959789057350032,                                 .888686,                                 .780267,                1404,                 255
ProbabilityGuessingGame                                                                                                         ,                4342,                2206,                 800,                  396,                      .50806080147397512,                      .49500000000000000,                                1.144587,                                 .999203,                  60,                  16
RatiosUsingBarsOnNumberLine                                                                                                     ,                1958,                 732,                 311,                  115,                      .37385086823289070,                      .36977491961414790,                                1.237079,                                1.083021,                 257,                  42
Riddles                                                                                                                         ,                3542,                1893,                 806,                  407,                      .53444381705251270,                      .50496277915632754,                                2.070844,                                1.827956,                 357,                 101
RiverCrossing                                                                                                                   ,                4319,                2457,                2124,                 1168,                      .56888168557536466,                      .54990583804143126,                                1.795687,                                1.659543,                 452,                 236
RobotAngles                                                                                                                     ,               13962,                4053,                4192,                 1249,                      .29028792436613665,                      .29794847328244274,                                1.160768,                                 .968806,                 383,                  83
RobotsAddition                                                                                                                  ,                9384,                7160,                9966,                 6584,                      .76300085251491901,                      .66064619707003812,                                2.184506,                                2.118500,                 718,                1109
RoyalFlowersDivision                                                                                                            ,                1515,                1015,                1387,                  623,                      .66996699669966996,                      .44917087238644556,                                2.231415,                                1.995409,                 106,                 132
SafeModulo                                                                                                                      ,                2473,                 868,                1425,                  457,                      .35099069955519611,                      .32070175438596491,                                1.056125,                                 .861980,                 226,                 105
ScalesMeasureBadges                                                                                                             ,               11470,                6550,                9335,                 4930,                      .57105492589363557,                      .52811997857525441,                                1.649001,                                1.489149,                1302,                1551
ScalesMultiplicationAndDivision                                                                                                 ,               11531,                5559,                8102,                 3566,                      .48209175266672448,                      .44013823747222907,                                1.627674,                                1.587621,                1418,                1001
SellingToysChange                                                                                                               ,                7476,                2404,                3678,                 1376,                      .32156233279828785,                      .37411636759108210,                                1.394770,                                1.228684,                 965,                 512
SequenceWithBricks                                                                                                              ,                6970,                3131,                3599,                 1542,                      .44921090387374461,                      .42845234787440955,                                1.419070,                                1.352620,                1450,                 585
ShapesOnGrid                                                                                                                    ,               22877,               10683,                9324,                 3883,                      .46697556497792542,                      .41645216645216645,                                1.450456,                                1.317555,                2179,                 923
ShapesOnRegions                                                                                                                 ,               35864,               24450,               25159,                18527,                      .68174213696185590,                      .73639651814460034,                                1.668647,                                1.649953,                1795,                1310
ShopAddition                                                                                                                    ,               34930,               22314,               23460,                14910,                      .63882049813913541,                      .63554987212276214,                                1.954658,                                1.888182,                3984,                2936
SkyJumpMultiplication                                                                                                           ,               86273,               53818,               41416,                25826,                      .62381046213763286,                      .62357542978559011,                                1.305292,                                1.183594,                4859,                2162
SnailRaceTimeMeasuring                                                                                                          ,               13883,                2623,                7367,                 1109,                      .18893610891017791,                      .15053617483371793,                                 .993518,                                 .838442,                6665,                4032
SolidShapes                                                                                                                     ,                9184,                6187,                5594,                 3417,                      .67367160278745644,                      .61083303539506614,                                1.913439,                                1.908306,                 600,                 498
SpaceshipNumerals                                                                                                               ,               62061,               37315,               29628,                18385,                      .60126327323117577,                      .62052787903334683,                                1.824943,                                1.773552,                3163,                1391
SpinningWheelProbability                                                                                                        ,                6276,                2751,                2515,                  945,                      .43833652007648183,                      .37574552683896620,                                1.444315,                                1.353835,                 817,                 340
SplitRiddles                                                                                                                    ,                5188,                 117,                1175,                    8,                      .02255204317656129,                      .00680851063829787,                                 .425373,                                 .119047,                  60,                  18
