episode_name                                                                                                                    ,locale                                                          ,web_start_episode   ,web_finish_episode  ,tablet_start_episode,tablet_finish_episode,web_finish_rate                         ,tablet_finish_rate                      ,web_avg_stars                           ,tablet_avg_stars                        ,web_no_submit       ,tablet_no_submit    
DividingFractionsByWholeWithPie                                                                                                 ,Argentina / en                                                  ,                   0,                   0,                   2,                    2,                      .00000000000000000,                     1.00000000000000000,                                 .000000,                                4.000000,                   0,                   0
DivisionUsingAreaOnAGrid                                                                                                        ,Argentina / en                                                  ,                   7,                   6,                  14,                    7,                      .85714285714285714,                      .50000000000000000,                                2.312500,                                2.312500,                   1,                   0
DrawingOnAGrid                                                                                                                  ,Argentina / en                                                  ,                   0,                   0,                   6,                    2,                      .00000000000000000,                      .33333333333333333,                                 .000000,                                2.000000,                   0,                   1
DressUp                                                                                                                         ,Argentina / en                                                  ,                   6,                   4,                   5,                    5,                      .66666666666666666,                     1.00000000000000000,                                1.875000,                                1.943333,                   0,                   0
DrivingAround                                                                                                                   ,Argentina / en                                                  ,                   0,                   0,                   2,                    0,                      .00000000000000000,                      .00000000000000000,                                 .000000,                                 .000000,                   0,                   0
EstimatingOnTheNumberLine                                                                                                       ,Argentina / en                                                  ,                  10,                   8,                   9,                    6,                      .80000000000000000,                      .66666666666666666,                                2.075000,                                1.193333,                   0,                   0
FactoryCubesCounting                                                                                                            ,Argentina / en                                                  ,                   3,                   1,                   0,                    0,                      .33333333333333333,                      .00000000000000000,                                4.000000,                                 .000000,                   0,                   0
FishTankGraphing                                                                                                                ,Argentina / en                                                  ,                   0,                   0,                   1,                    1,                      .00000000000000000,                     1.00000000000000000,                                 .000000,                                2.000000,                   0,                   0
FourOperationsGame                                                                                                              ,Argentina / en                                                  ,                  14,                   3,                   8,                    4,                      .21428571428571428,                      .50000000000000000,                                1.187500,                                2.500000,                   0,                   0
FractionsModels                                                                                                                 ,Argentina / en                                                  ,                   6,                   2,                  10,                    5,                      .33333333333333333,                      .50000000000000000,                                1.250000,                                2.083333,                   3,                   0
FractionsModelsWorksheet                                                                                                        ,Argentina / en                                                  ,                   1,                   0,                   0,                    0,                      .00000000000000000,                      .00000000000000000,                                 .000000,                                 .000000,                   1,                   0
FractionsOfRectangles                                                                                                           ,Argentina / en                                                  ,                   6,                   4,                  12,                    4,                      .66666666666666666,                      .33333333333333333,                                2.250000,                                2.250000,                   0,                   1
FruitsForMonstersDivision                                                                                                       ,Argentina / en                                                  ,                  23,                  21,                  20,                    8,                      .91304347826086956,                      .40000000000000000,                                2.290000,                                1.928571,                   1,                   2
GasTankAddition                                                                                                                 ,Argentina / en                                                  ,                   1,                   0,                  26,                   25,                      .00000000000000000,                      .96153846153846153,                                 .000000,                                1.741250,                   0,                   0
GuessingFigures                                                                                                                 ,Argentina / en                                                  ,                  41,                  27,                   2,                    2,                      .65853658536585365,                     1.00000000000000000,                                1.400000,                                1.500000,                   1,                   0
HundredBoardGame                                                                                                                ,Argentina / en                                                  ,                   0,                   0,                  63,                   46,                      .00000000000000000,                      .73015873015873015,                                 .000000,                                4.330000,                   0,                  60
IdentifyingQuadrilaterals                                                                                                       ,Argentina / en                                                  ,                  21,                  18,                   9,                    4,                      .85714285714285714,                      .44444444444444444,                                2.035000,                                1.388333,                   1,                   2
JuiceDivisionToCups                                                                                                             ,Argentina / en                                                  ,                   2,                   1,                   0,                    0,                      .50000000000000000,                      .00000000000000000,                                2.500000,                                 .000000,                   0,                   0
LightAngles                                                                                                                     ,Argentina / en                                                  ,                   1,                   0,                   0,                    0,                      .00000000000000000,                      .00000000000000000,                                 .000000,                                 .000000,                   0,                   0
LogoTransformations                                                                                                             ,Argentina / en                                                  ,                   7,                   6,                   2,                    2,                      .85714285714285714,                     1.00000000000000000,                                2.125000,                                2.000000,                   0,                   0
LongDivisionAlgorithm                                                                                                           ,Argentina / en                                                  ,                   4,                   4,                   0,                    0,                     1.00000000000000000,                      .00000000000000000,                                5.000000,                                 .000000,                   0,                   0
LotusParity                                                                                                                     ,Argentina / en                                                  ,                   0,                   0,                   9,                    7,                      .00000000000000000,                      .77777777777777777,                                 .000000,                                4.000000,                   0,                   0
MagicLibraryRomanNumerals                                                                                                       ,Argentina / en                                                  ,                   7,                   6,                   4,                    2,                      .85714285714285714,                      .50000000000000000,                                2.250000,                                2.250000,                   0,                   0
MagicTrianglePuzzles                                                                                                            ,Argentina / en                                                  ,                  65,                  54,                  22,                   16,                      .83076923076923076,                      .72727272727272727,                                2.065000,                                1.777777,                   1,                   1
MakingNewShapes                                                                                                                 ,Argentina / en                                                  ,                   8,                   6,                   3,                    1,                      .75000000000000000,                      .33333333333333333,                                2.083333,                                1.250000,                   1,                   0
MatchCardSums                                                                                                                   ,Argentina / en                                                  ,                  14,                  10,                  18,                   16,                      .71428571428571428,                      .88888888888888888,                                2.200000,                                1.750000,                   1,                   0
MeasuringObjects                                                                                                                ,Argentina / en                                                  ,                   1,                   1,                   0,                    0,                     1.00000000000000000,                      .00000000000000000,                                4.000000,                                 .000000,                   0,                   0
MeasuringWithProtractor                                                                                                         ,Argentina / en                                                  ,                   0,                   0,                   6,                    2,                      .00000000000000000,                      .33333333333333333,                                 .000000,                                4.500000,                   0,                   0
MonkeysPreAlgebra                                                                                                               ,Argentina / en                                                  ,                   2,                   1,                   3,                    0,                      .50000000000000000,                      .00000000000000000,                                2.500000,                                 .000000,                   1,                   2
MovieMoneyPay                                                                                                                   ,Argentina / en                                                  ,                   2,                   2,                   0,                    0,                     1.00000000000000000,                      .00000000000000000,                                4.500000,                                 .000000,                   0,                   0
MovingGame                                                                                                                      ,Argentina / en                                                  ,                   0,                   0,                   2,                    1,                      .00000000000000000,                      .50000000000000000,                                 .000000,                                1.000000,                   0,                   0
MultiplicationByTruck                                                                                                           ,Argentina / en                                                  ,                   2,                   2,                   6,                    4,                     1.00000000000000000,                      .66666666666666666,                                2.500000,                                1.416666,                   0,                   0
MultiplicationGridExpanded                                                                                                      ,Argentina / en                                                  ,                   1,                   1,                   1,                    1,                     1.00000000000000000,                     1.00000000000000000,                                2.500000,                                2.500000,                   0,                   0
MultiplicationMomentsBalance                                                                                                    ,Argentina / en                                                  ,                   4,                   3,                   9,                    5,                      .75000000000000000,                      .55555555555555555,                                2.500000,                                2.333333,                   0,                   1
MultiplicationTable                                                                                                             ,Argentina / en                                                  ,                   6,                   4,                   6,                    6,                      .66666666666666666,                     1.00000000000000000,                                2.500000,                                2.166250,                   1,                   0
MultiplyingDovecotes                                                                                                            ,Argentina / en                                                  ,                   2,                   1,                   6,                    2,                      .50000000000000000,                      .33333333333333333,                                2.000000,                                 .750000,                   1,                   2
NotesNumerals                                                                                                                   ,Argentina / en                                                  ,                   5,                   4,                  39,                   29,                      .80000000000000000,                      .74358974358974358,                                2.375000,                                2.125000,                   0,                   2
OperationCheeseFractions                                                                                                        ,Argentina / en                                                  ,                   0,                   0,                   1,                    1,                      .00000000000000000,                     1.00000000000000000,                                 .000000,                                5.000000,                   0,                   0
PencilsLinePlot                                                                                                                 ,Argentina / en                                                  ,                   0,                   0,                   1,                    0,                      .00000000000000000,                      .00000000000000000,                                 .000000,                                 .000000,                   0,                   1
PerimeterOfPolygons                                                                                                             ,Argentina / en                                                  ,                   6,                   3,                   5,                    3,                      .50000000000000000,                      .60000000000000000,                                2.333333,                                2.500000,                   3,                   0
PileComparison                                                                                                                  ,Argentina / en                                                  ,                   0,                   0,                  32,                   27,                      .00000000000000000,                      .84375000000000000,                                 .000000,                                2.848000,                   0,                   3
PingPong                                                                                                                        ,Argentina / en                                                  ,                   0,                   0,                  18,                   13,                      .00000000000000000,                      .72222222222222222,                                 .000000,                                3.360000,                   0,                   0
PizzaBenchmarks                                                                                                                 ,Argentina / en                                                  ,                   1,                   1,                   2,                    1,                     1.00000000000000000,                      .50000000000000000,                                2.000000,                                2.500000,                   0,                   0
PizzaUnitFractions                                                                                                              ,Argentina / en                                                  ,                   3,                   3,                   7,                    5,                     1.00000000000000000,                      .71428571428571428,                                2.500000,                                2.437500,                   0,                   1
PolygonStack                                                                                                                    ,Argentina / en                                                  ,                  13,                  12,                   6,                    6,                      .92307692307692307,                     1.00000000000000000,                                2.187500,                                2.200000,                   1,                   0
